Chronologic VCS simulator copyright 1991-2025
Contains Synopsys proprietary information.
Compiler version X-2025.06-SP1_Full64; Runtime version X-2025.06-SP1_Full64;  May  4 14:17 2026

 VCS Coverage Metrics Release X-2025.06-SP1_Full64 Copyright (c) 1991-2025 by Synopsys Inc.
[Cycle 1615000] PC=0x230 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1625000] PC=0x234 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1635000] PC=0x238 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1645000] PC=0x23c | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1655000] PC=0x240 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1665000] PC=0x244 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1675000] PC=0x248 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1685000] PC=0x24c | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1695000] PC=0x250 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1705000] PC=0x254 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1715000] PC=0x258 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1725000] PC=0x25c | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1735000] PC=0x260 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1745000] PC=0x264 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1755000] PC=0x268 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1765000] PC=0x26c | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1775000] PC=0x270 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1785000] PC=0x274 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1795000] PC=0x278 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1805000] PC=0x27c | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x

============================================================
  CoreAccel-V TCM Corner Case Verification (SystemVerilog)
============================================================
  --- TEST 1: CPU Write + TCM Read-back ---
  [PASS] x2 = 0x80000000  (LUI: TCM base address)
  [PASS] x1 = 0x00000007  (x1 = 7 (weight))
  [PASS] TCM[0] = 0x00000007  (TCM[0] = 7 via SW Port A)
  [PASS] TCM[1] = 0x0000000d  (TCM[1] = 13 via SW Port A)
  [PASS] x3 = 0x00000007  (LW x3 = TCM[0] via Port A = 7)
  --- TEST 2: MAC via TCM Port B (6*7=42) ---
  [PASS] x4 = 0x00000006  (x4 = 6 (data))
  [PASS] x6 = 0x0000002a  (MAC_READ_LO: 6*7 = 42)
  --- TEST 3: BRAM LATENCY STRESS (critical!) ---
       ADDI x20=99 POISONS ALU result before LW from TCM.
